time	cp
2354	9.57335
2356	9.57426
2358	9.57417
2360	9.57436
2362	9.57547
2364	9.57589
2366	9.57586
2368	9.57571
2370	9.57502
2372	9.57453
2374	9.5743
2376	9.57331
2378	9.57213
2380	9.57359
2382	9.57457
2384	9.575
2386	9.57507
2388	9.57501
2390	9.57522
2392	9.5758
2394	9.57585
2396	9.57517
2398	9.57546
2400	9.57628
2402	9.57638
2404	9.57553
2406	9.57508
2408	9.57469
2410	9.57473
2412	9.57517
2414	9.57574
2416	9.57564
2418	9.57544
2420	9.57578
2422	9.57624
2424	9.57618
2426	9.57484
2428	9.57499
2430	9.57568
2432	9.57568
2434	9.5765
2436	9.57632
2438	9.57592
2440	9.57604
2442	9.57657
2444	9.5767
2446	9.57662
2448	9.5763
2450	9.57664
2452	9.5774
2454	9.57624
2456	9.57503
2458	9.57565
2460	9.57495
2462	9.57488
2464	9.57537
2466	9.57574
2468	9.57602
2470	9.57626
2472	9.57628
2474	9.5773
2476	9.5767
2478	9.57652
2480	9.57645
2482	9.57727
2484	9.57767
2486	9.57662
2488	9.57772
2490	9.57818
2492	9.57829
2494	9.57738
2496	9.57727
2498	9.57642
2500	9.57653
2502	9.57664
2504	9.57695
2506	9.57682
2508	9.57625
2510	9.57612
2512	9.5768
2514	9.5769
2516	9.57746
2518	9.57801
2520	9.57763
2522	9.57753
2524	9.57646
2526	9.57567
2528	9.57152
2530	9.56571
2532	9.56124
2534	9.55579
2536	9.54869
2538	9.54072
2540	9.53419
2542	9.52724
2544	9.52255
2546	9.51923
2548	9.5172
2550	9.51563
2552	9.51477
2554	9.5151
2556	9.51737
2558	9.5214
2560	9.52617
2562	9.52982
2564	9.53418
2566	9.5399
2568	9.54516
2570	9.54955
2572	9.55374
2574	9.55628
2576	9.55805
2578	9.55909
2580	9.56164
2582	9.56379
2584	9.56584
2586	9.56775
2588	9.56856
2590	9.56909
2592	9.5709
2594	9.57179
2596	9.57229
2598	9.57234
2600	9.57216
2602	9.57266
2604	9.57402
2606	9.57502
2608	9.57534
2610	9.57576
2612	9.5753
2614	9.57545
2616	9.57705
2618	9.57716
2620	9.57604
2622	9.57656
2624	9.5785
2626	9.57928
2628	9.57889
2630	9.57886
2632	9.57904
2634	9.57852
2636	9.57811
2638	9.57795
2640	9.5786
2642	9.57898
2644	9.57941
2646	9.58035
2648	9.58055
2650	9.58011
2652	9.58017
2654	9.58065
2656	9.58108
2658	9.58076
2660	9.58033
2662	9.57992
2664	9.58073
2666	9.58114
2668	9.58171
2670	9.58194
2672	9.58191
2674	9.58206
2676	9.58098
2678	9.5799
2680	9.58039
2682	9.58101
2684	9.58103
2686	9.58089
2688	9.5811
2690	9.58095
2692	9.57976
2694	9.57921
2696	9.5799
2698	9.58018
2700	9.58059
2702	9.58085
2704	9.5815
2706	9.5813
2708	9.58065
2710	9.58061
2712	9.58155
2714	9.58208
2716	9.58189
2718	9.58167
2720	9.58175
2722	9.58198
2724	9.58215
2726	9.58193
2728	9.58234
2730	9.58179
2732	9.58159
2734	9.58219
2736	9.58304
2738	9.5825
2740	9.58212
2742	9.58238
2744	9.58251
2746	9.58186
2748	9.58214
2750	9.58336
2752	9.58229
2754	9.5824
2756	9.58323
2758	9.58258
2760	9.58253
2762	9.58173
2764	9.58111
2766	9.58084
2768	9.58169
2770	9.58222
2772	9.58298
2774	9.58273
2776	9.58219
2778	9.58216
2780	9.58169
2782	9.58171
2784	9.5822
2786	9.58335
2788	9.58264
2790	9.58229
2792	9.58258
2794	9.583
2796	9.58321
2798	9.58297
2800	9.58236
2802	9.58181
2804	9.58276
2806	9.58252
2808	9.5834
2810	9.58315
2812	9.58348
2814	9.58302
2816	9.58287
2818	9.5829
2820	9.58279
2822	9.58342
2824	9.58432
2826	9.58467
2828	9.58413
2830	9.58358
2832	9.58338
2834	9.5841
2836	9.58359
2838	9.58411
2840	9.58442
2842	9.58436
2844	9.58454
2846	9.58553
2848	9.58498
2850	9.58411
2852	9.58468
2854	9.58483
2856	9.58497
2858	9.58512
2860	9.58561
2862	9.58572
2864	9.585
2866	9.58397
2868	9.58473
2870	9.58554
2872	9.58438
2874	9.58447
2876	9.58426
2878	9.58446
2880	9.58481
2882	9.58495
2884	9.58436
2886	9.58167
2888	9.57766
2890	9.57332
2892	9.57004
2894	9.56526
2896	9.56059
2898	9.55578
2900	9.54942
2902	9.54352
2904	9.54026
2906	9.53779
2908	9.5371
2910	9.53553
2912	9.53441
2914	9.53542
2916	9.53825
2918	9.54101
2920	9.54422
2922	9.54799
2924	9.55164
2926	9.55477
2928	9.55846
2930	9.5612
2932	9.56378
2934	9.56652
2936	9.56912
2938	9.57084
2940	9.57149
2942	9.57331
2944	9.57414
2946	9.57539
2948	9.57644
2950	9.57726
2952	9.57817
2954	9.57872
2956	9.5803
2958	9.58122
2960	9.58147
2962	9.58174
2964	9.58245
2966	9.58148
2968	9.58159
2970	9.58202
2972	9.58294
2974	9.58383
2976	9.58422
2978	9.58343
2980	9.58405
2982	9.585
2984	9.58449
2986	9.58443
2988	9.58453
2990	9.58489
2992	9.58634
2994	9.58681
2996	9.58704
2998	9.58683
3000	9.58602
3002	9.58691
3004	9.5877
3006	9.58728
3008	9.58689
3010	9.58707
3012	9.58765
3014	9.58703
3016	9.58602
3018	9.5863
3020	9.58735
3022	9.58719
3024	9.5872
3026	9.58678
3028	9.58662
3030	9.58755
3032	9.58805
3034	9.58797
3036	9.58774
3038	9.588
3040	9.58829
3042	9.58731
3044	9.58797
3046	9.58786
3048	9.58721
3050	9.5874
3052	9.58799
3054	9.58849
3056	9.58776
3058	9.5877
3060	9.58863
3062	9.58829
3064	9.58816
3066	9.58843
3068	9.58839
3070	9.58912
3072	9.58911
3074	9.58928
3076	9.58915
3078	9.58827
3080	9.58885
3082	9.58862
3084	9.58768
3086	9.58797
3088	9.58859
3090	9.5882
3092	9.58861
3094	9.58873
3096	9.58839
3098	9.58846
3100	9.58888
3102	9.58886
3104	9.588
3106	9.58776
3108	9.58862
3110	9.58882
3112	9.5885
3114	9.58791
3116	9.58871
3118	9.58922
3120	9.58974
3122	9.58951
3124	9.58857
3126	9.58831
3128	9.58808
3130	9.58888
3132	9.58889
3134	9.58816
3136	9.5882
3138	9.58915
3140	9.58942
3142	9.58947
3144	9.5885
3146	9.5886
3148	9.58949
3150	9.58957
3152	9.59042
3154	9.59071
3156	9.59045
3158	9.59053
3160	9.59092
3162	9.59074
3164	9.58993
3166	9.59043
3168	9.59069
3170	9.59016
3172	9.58962
3174	9.58959
3176	9.58993
3178	9.58931
3180	9.58883
3182	9.5893
3184	9.58972
3186	9.5904
3188	9.59061
